#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-06-27T16:57:46 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59528e1c0cca	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:J/ApJ/783/130&tab:{J/ApJ/783/130/table1}&key:source=J/ApJ/783/130/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/783/130/table1
#-order=I
#-out=Name
#-out=Alias
#-out=RAJ2000
#-out=DEJ2000
#-out=plx
#-out=e_plx
#-out=pmX
#-out=e_pmX
#-out=pmY
#-out=e_pmY
#-out=VLSR
#-out=e_VLSR
#-out=Arm
#-out=Ref
#

#RESOURCE=yCat_17830130
#Name: J/ApJ/783/130
#Title: Parallaxes of high mass star forming regions (Reid+, 2014)
#Coosys	G:	galactic
#Table	J_ApJ_783_130_table1:
#Name: J/ApJ/783/130/table1
#Title: Parallaxes and proper motions of high-mass star forming regions
#Column	_Glon	(F8.4)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F8.4)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Name	(A13)	Galactic source name/coordinates	[ucd=pos.galactic]
#Column	Alias	(a15)	Alias name	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Trigonometric Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Uncertainty in plx (1)	[ucd=stat.error;pos.parallax]
#Column	pmX	(F5.2)	Eastward Proper Motion (Motion in RA multiplied by cos(Dec); {mu}_x_={mu}_{alpha}_cos{delta}) (2)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmX	(F5.2)	Uncertainty in pmX	[ucd=stat.error]
#Column	pmY	(F5.2)	Northward Proper Motion ({mu}_y_={mu}_{delta}_ (2)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmY	(F5.2)	Uncertainty in pmY	[ucd=stat.error]
#Column	VLSR	(I3)	Local Standard of Rest velocity v_LSR_ (2)	[ucd=phys.veloc;pos.lsr]
#Column	e_VLSR	(I2)	Uncertainty in VLSR	[ucd=stat.error;phys.veloc;pos.lsr]
#Column	Arm	(A3)	Spiral arm designator; based mostly on association with structure seen in l-V plots of CO and HI emission (not using the measured parallaxes) (3)	[ucd=meta.id.parent]
#Column	Ref	(a8)	Reference (in refs.dat file)	[ucd=meta.ref;pos.frame]
_Glon	_Glat	Name	Alias	RAJ2000	DEJ2000	plx	e_plx	pmX	e_pmX	pmY	e_pmY	VLSR	e_VLSR	Arm	Ref
deg	deg	 	 	"h:m:s"	"d:m:s"	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	km/s	km/s	 	
#--------	--------	-------------	---------------	-----------	-----------	------	------	-----	-----	-----	-----	---	--	---	--------
348.7037	 -1.0436	G348.70-01.04	               	17 20 04.04	-38 58 30.9	 0.296	 0.026	-0.73	 0.19	-2.83	 0.54	 -7	 6	...	1
351.4449	 +0.6597	G351.44+00.65	NGC 6334       	17 20 54.60	-35 45 08.6	 0.744	 0.074	 0.40	 0.51	-2.24	 0.64	 -8	 3	Sgr	2
000.6724	 -0.0311	G000.67-00.03	Sgr B2         	17 47 20.00	-28 22 40.0	 0.129	 0.012	-0.78	 0.40	-4.26	 0.40	 62	 5	...	3
005.8843	 -0.3925	G005.88-00.39	               	18 00 30.31	-24 04 04.5	 0.334	 0.020	 0.18	 0.34	-2.26	 0.34	  9	 3	Sct	4
009.6212	 +0.1958	G009.62+00.19	               	18 06 14.66	-20 31 31.7	 0.194	 0.023	-0.58	 0.13	-2.49	 0.29	  2	 3	4-k	5
010.4723	 +0.0272	G010.47+00.02	               	18 08 38.23	-19 51 50.3	 0.117	 0.008	-3.86	 0.19	-6.40	 0.14	 69	 5	Con	7
010.6235	 -0.3831	G010.62-00.38	W 31           	18 10 28.55	-19 55 48.6	 0.202	 0.019	-0.37	 0.50	-0.60	 0.25	 -3	 5	3-k	7
011.4974	 -1.4853	G011.49-01.48	               	18 16 22.13	-19 41 27.2	 0.800	 0.033	 1.42	 0.52	-0.60	 0.65	 11	 3	Sgr	2
011.9177	 -0.6131	G011.91-00.61	               	18 13 58.12	-18 54 20.3	 0.297	 0.031	 0.66	 0.28	-1.36	 0.41	 37	 5	Sct	4
012.0254	 -0.0314	G012.02-00.03	               	18 12 01.84	-18 31 55.8	 0.106	 0.008	-4.11	 0.07	-7.76	 0.27	108	 5	3-k	7
012.6806	 -0.1823	G012.68-00.18	               	18 13 54.75	-18 01 46.6	 0.416	 0.028	-1.00	 0.95	-2.85	 0.95	 58	10	Sct	8
012.8068	 -0.2015	G012.80-00.20	               	18 14 14.23	-17 55 40.5	 0.343	 0.037	-0.60	 0.70	-0.99	 0.70	 34	 5	Sct	8
012.8889	 +0.4892	G012.88+00.48	IRAS 18089-1732	18 11 51.42	-17 31 29.0	 0.400	 0.040	 0.15	 0.25	-2.30	 0.39	 31	 7	Sct	8,10
012.9009	 -0.2414	G012.90-00.24	               	18 14 34.42	-17 51 51.9	 0.408	 0.025	 0.19	 0.80	-2.52	 0.80	 36	10	Sct	8
012.9086	 -0.2605	G012.90-00.26	               	18 14 39.57	-17 52 00.4	 0.396	 0.032	-0.36	 0.80	-2.22	 0.80	 39	10	Sct	8
013.8738	 +0.2812	G013.87+00.28	               	18 14 35.83	-16 45 35.9	 0.254	 0.024	-0.25	 2.00	-2.49	 2.00	 48	10	Sct	4
014.3318	 -0.6450	G014.33-00.64	               	18 18 54.67	-16 47 50.3	 0.893	 0.101	 0.95	 1.50	-2.40	 1.30	 22	 5	Sgr	9
